orgunituid	sitename	operatingunit	operatingunituid	countryname	snu1	snu1uid	psnu	psnuuid	snuprioritization	typemilitary	dreams	primepartner	fundingagency	mech_code	mech_name	pre_rgnlztn_hq_mech_code	prime_partner_duns	award_number	communityuid	community	communityprioritization	facilityuid	facility	facilityprioritization	sitetype	indicator	numeratordenom	indicatortype	disaggregate	standardizeddisaggregate	categoryoptioncomboname	ageasentered	trendsfine	trendssemifine	trendscoarse	sex	statushiv	statustb	statuscx	hiv_treatment_status	otherdisaggregate	otherdisaggregate_sub	modality	fiscal_year	targets	qtr1	qtr2	qtr3	qtr4	cumulative	source_name
s17u3OHhM48	Tlokweng Main Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	VB7am4futjm	Gaborone District	3 - Scale-Up	s17u3OHhM48	Tlokweng Main Clinic		Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"35-39, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative"	35-39	35-39	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative"			2019					45	45	DATIM
NOmvR8mL9FJ	Nyangabgwe Referral Hospital	Botswana	l1KFEXKI4Dg	Botswana	North East District	wZl8hXAOSB0	Francistown District	h1CepDrLWib	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	h1CepDrLWib	Francistown District		NOmvR8mL9FJ	Nyangabgwe Referral Hospital	4 - Sustained	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"40-44, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive"	40-44	40-44	25-49	15+	Female	Positive		Positive		"Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive"			2020			69		97	166	DATIM
hmmaqBquRLT	Maun General 24 hours Clinic	Botswana	l1KFEXKI4Dg	Botswana	North West District	Vvry5LAFBk2	Ngamiland District	TnDQJQtNVCK	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	TnDQJQtNVCK	Ngamiland District	5 - Centrally Supported	hmmaqBquRLT	Maun General 24 hours Clinic		Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"45-49, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected"	45-49	45-49	25-49	15+	Female	Positive		Suspected		"Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected"			2020					32	32	DATIM
IMbmvKI0ILR	Sefhare Primary Hospital	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Mahalapye District	iY69BUSqcnC	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	iY69BUSqcnC	Mahalapye District	3 - Scale-Up	IMbmvKI0ILR	Sefhare Primary Hospital		Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus	Age/Sex/HIVStatus	"35-39, Female, Positive"	35-39	35-39	25-49	15+	Female	Positive							2020	400						DATIM
qoJWuD0anQJ	Bamalete Lutheran Hospital	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	South East District	YksWHI1yLuv	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	YksWHI1yLuv	South East District	3 - Scale-Up	qoJWuD0anQJ	Bamalete Lutheran Hospital	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"40-44, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative"	40-44	40-44	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative"			2020			75		48	123	DATIM
NOmvR8mL9FJ	Nyangabgwe Referral Hospital	Botswana	l1KFEXKI4Dg	Botswana	North East District	wZl8hXAOSB0	Francistown District	h1CepDrLWib	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	h1CepDrLWib	Francistown District		NOmvR8mL9FJ	Nyangabgwe Referral Hospital	4 - Sustained	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus	Age/Sex/HIVStatus	"45-49, Female, Positive"	45-49	45-49	25-49	15+	Female	Positive							2020	401						DATIM
OSm6bghHbtt	Thamaga Primary Hospital	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	OSm6bghHbtt	Thamaga Primary Hospital	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"40-44, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	40-44	40-44	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2020			75		21	96	DATIM
IMbmvKI0ILR	Sefhare Primary Hospital	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Mahalapye District	iY69BUSqcnC	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	iY69BUSqcnC	Mahalapye District	3 - Scale-Up	IMbmvKI0ILR	Sefhare Primary Hospital		Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"40-44, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative"	40-44	40-44	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative"			2019			77		66	143	DATIM
NOmvR8mL9FJ	Nyangabgwe Referral Hospital	Botswana	l1KFEXKI4Dg	Botswana	North East District	wZl8hXAOSB0	Francistown District	h1CepDrLWib	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	h1CepDrLWib	Francistown District		NOmvR8mL9FJ	Nyangabgwe Referral Hospital	4 - Sustained	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"30-34, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive"	30-34	30-34	25-49	15+	Female	Positive		Positive		"Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive"			2019					64	64	DATIM
DRH38YVle7z	Maun Clinic	Botswana	l1KFEXKI4Dg	Botswana	North West District	Vvry5LAFBk2	Ngamiland District	TnDQJQtNVCK	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	TnDQJQtNVCK	Ngamiland District	5 - Centrally Supported	DRH38YVle7z	Maun Clinic		Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"30-34, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected"	30-34	30-34	25-49	15+	Female	Positive		Suspected		"Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected"			2019			22			22	DATIM
